ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,sampleRate,sampleSize,streamType,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,637e69ca-97d3-42e4-a64a-7b648122c0fb,14,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670aacc58529bdd288973228,48000.0,16.0,start,2024-10-12 20:07:17.671,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,637e69ca-97d3-42e4-a64a-7b648122c0fb,23,{'streamType': 'end'},670aaccd8529bdd288973298,,,end,2024-10-12 20:07:25.102,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,637e69ca-97d3-42e4-a64a-7b648122c0fb,37,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670aace98529bdd2889733e0,48000.0,16.0,start,2024-10-12 20:07:53.591,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,637e69ca-97d3-42e4-a64a-7b648122c0fb,45,{'streamType': 'end'},670aaced8529bdd288973422,,,end,2024-10-12 20:07:57.801,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,920183cd-f9c1-46aa-9f24-96f3e7a96515,15,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670ab69214519701d6175408,48000.0,16.0,start,2024-10-12 20:49:06.891,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,55,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670c09708529bdd288a249fc,48000.0,16.0,start,2024-10-13 20:54:56.333,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,65,{'streamType': 'end'},670c09798529bdd288a24a61,,,end,2024-10-13 20:55:05.222,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,70,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670c09848529bdd288a24aff,48000.0,16.0,start,2024-10-13 20:55:16.618,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,78,{'streamType': 'end'},670c09898529bdd288a24b3a,,,end,2024-10-13 20:55:21.561,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,87,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670c099a8529bdd288a24c1b,48000.0,16.0,start,2024-10-13 20:55:38.339,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8e2ebbe4-af0c-4034-b63f-7e087137ab92,96,{'streamType': 'end'},670c099f8529bdd288a24c52,,,end,2024-10-13 20:55:43.484,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,d54ae284-6080-434a-a44d-74ba32c5778b,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670aad2514519701d616e3ac,48000.0,16.0,start,2024-10-12 20:08:53.822,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,d54ae284-6080-434a-a44d-74ba32c5778b,26,{'streamType': 'end'},670aad2b14519701d616e3e8,,,end,2024-10-12 20:08:59.111,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,407cbbc7-605d-4e1f-96bb-b00480432cf5,17,{'streamType': 'end'},670a998f14519701d615ebbf,,,end,2024-10-12 18:45:19.002,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,4d4208bd-2b4c-490d-bedf-6c4ed0e3122d,15,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6706791c7673c82f42728ce2,48000.0,16.0,start,2024-10-09 15:37:48.689,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,faa29605-459a-4e77-97c2-66ae8b8b2623,241,{'streamType': 'end'},67070e4a14519701d6f2cb35,,,end,2024-10-10 02:14:18.314,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,faa29605-459a-4e77-97c2-66ae8b8b2623,242,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",67070e4e14519701d6f2cb68,48000.0,16.0,start,2024-10-10 02:14:22.221,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,faa29605-459a-4e77-97c2-66ae8b8b2623,253,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",67070e5014519701d6f2cb86,48000.0,16.0,start,2024-10-10 02:14:24.475,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91050dd7-6ee5-4a99-95f8-b35d434ff3e9,14,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670c2fd98529bdd288a409e0,48000.0,16.0,start,2024-10-13 23:38:49.127,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91050dd7-6ee5-4a99-95f8-b35d434ff3e9,23,{'streamType': 'end'},670c2fe08529bdd288a40a4d,,,end,2024-10-13 23:38:56.648,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,f30ca069-de63-4143-8869-ab6df70a3058,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670c275814519701d623249f,48000.0,16.0,start,2024-10-13 23:02:32.167,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,f30ca069-de63-4143-8869-ab6df70a3058,26,{'streamType': 'end'},670c276014519701d62324f3,,,end,2024-10-13 23:02:40.046,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89df92a8-729f-4446-88f1-bda445867415,14,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670bf9ad8529bdd288a191f4,48000.0,16.0,start,2024-10-13 19:47:41.083,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89df92a8-729f-4446-88f1-bda445867415,23,{'streamType': 'end'},670bf9b18529bdd288a19221,,,end,2024-10-13 19:47:45.243,AUDIO_STREAM
