CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency,triggers
68a241c5-37a8-4504-a943-6b82581cd270,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 999, 'triggers': ['Career']}",670e61a08529bdd288ba7506,2024-10-15 15:35:44.951,CANNED_RESPONSE,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,999,['Career']
df0f492e-a33b-41c5-84a5-9fd87908058c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,"{'nluEngineVersion': '6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 522, 'triggers': ['Medical records']}",670ec2c04031c12e658e265c,2024-10-15 22:30:08.585,CANNED_RESPONSE,6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2,522,['Medical records']
eb155351-4749-4856-89cd-95615a9b0632,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,49,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 709, 'triggers': ['email']}",670e67f314519701d63a0865,2024-10-15 16:02:43.037,CANNED_RESPONSE,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,709,['email']
99948aca-1642-443f-861f-db6681cb9372,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 2929, 'triggers': ['email']}",670143d2ce37c37834b5d6af,2024-10-05 16:49:06.629,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,2929,['email']
174e9621-9294-41fa-9154-5d43b5397a2f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 974, 'triggers': ['Pharmacy']}",6701721fce37c37834b8592f,2024-10-05 20:06:39.866,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,974,['Pharmacy']
c1707c68-023f-47c4-af17-61af5acd6df5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 3189, 'triggers': ['Appointment confirmation']}",6701618d55f202ce262e0699,2024-10-05 18:55:57.336,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,3189,['Appointment confirmation']
265416ce-0be7-4f53-bdf9-9748504d24d9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 470, 'triggers': ['Pay bill']}",67019ad4ce37c37834ba5f27,2024-10-05 23:00:20.749,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,470,['Pay bill']
ee351325-86a5-4d28-b48d-6b1d47e2939f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 627, 'triggers': ['email']}",6701c4cbce37c37834bc4328,2024-10-06 01:59:23.178,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,627,['email']
d1036949-165a-4b22-bdda-3516a4971cf2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 937, 'triggers': ['Pay bill']}",67019290ce37c37834b9fe26,2024-10-05 22:25:04.363,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,937,['Pay bill']
2c5e64f4-fa2b-4dc1-927d-52254fbdb6fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 791, 'triggers': ['Telemedicine']}",6700e80755f202ce262a89bd,2024-10-05 10:17:27.827,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,791,['Telemedicine']
adf68bda-0fe8-4ffe-b62f-0c6978251f7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1509, 'triggers': ['parking']}",670135f7ce37c37834b5372d,2024-10-05 15:49:59.489,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,1509,['parking']
095d5a5b-ce1c-4eb7-88f6-6d4ad783737d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,36,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1209, 'triggers': ['Visitor Policy']}",67016ac155f202ce262e7d67,2024-10-05 19:35:13.892,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,1209,['Visitor Policy']
e326b4d6-8812-4b93-89f0-28b08aad4bc4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 1420, 'triggers': ['laboratory']}",6700db98ce37c37834b35ee1,2024-10-05 09:24:24.860,CANNED_RESPONSE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,1420,['laboratory']
