CONVERSATION_ID,ASSISTANT_ID,PLATFORM_TYPE,FIRST_EVENT_TIME,LAST_EVENT_TIME
6bbd6279-e3e8-4292-ad47-bc245df28c29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-15 17:43:21.285 Z,2024-10-15 18:02:07.564 Z
68a241c5-37a8-4504-a943-6b82581cd270,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Desktop,2024-10-15 12:34:02.198 Z,2024-10-15 12:53:53.569 Z
df0f492e-a33b-41c5-84a5-9fd87908058c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-15 19:29:33.472 Z,2024-10-15 19:49:44.788 Z
eb155351-4749-4856-89cd-95615a9b0632,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-15 12:59:38.028 Z,2024-10-15 13:23:17.453 Z
f2470b5f-8420-4ae5-bdf6-fcfeb3e83c0e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-15 11:20:32.197 Z,2024-10-15 11:36:04.130 Z
99948aca-1642-443f-861f-db6681cb9372,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 13:48:12.951 Z,2024-10-05 14:10:12.332 Z
148808d9-7009-4a1c-9fc9-716c8072fda9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 20:24:18.957 Z,2024-10-05 20:40:09.292 Z
174e9621-9294-41fa-9154-5d43b5397a2f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 17:02:38.128 Z,2024-10-05 17:21:39.878 Z
c1707c68-023f-47c4-af17-61af5acd6df5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 15:54:18.870 Z,2024-10-05 16:11:02.565 Z
99885e3a-c5f3-4462-a38a-488938ca4747,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 00:38:51.816 Z,2024-10-05 00:56:05.852 Z
5a22a000-374f-441b-a862-7869012050e7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 11:09:22.915 Z,2024-10-05 11:35:27.125 Z
265416ce-0be7-4f53-bdf9-9748504d24d9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 20:00:10.180 Z,2024-10-05 20:15:26.753 Z
5a33ab5b-2ef4-49c1-9636-c4107480d5d5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 00:59:07.287 Z,2024-10-05 01:17:00.968 Z
ee351325-86a5-4d28-b48d-6b1d47e2939f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 22:57:15.050 Z,2024-10-05 23:20:25.437 Z
62e79c6c-00d8-499b-8305-5565847399ba,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 09:12:26.528 Z,2024-10-05 09:33:55.692 Z
5d142996-f984-4e9a-9594-87463e3c0303,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 12:22:10.144 Z,2024-10-05 12:47:14.857 Z
d1036949-165a-4b22-bdda-3516a4971cf2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 19:24:46.355 Z,2024-10-05 19:41:17.405 Z
9d88b943-aeae-46ff-b681-dd23aa4e852e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 21:08:12.460 Z,2024-10-05 21:29:22.352 Z
9dea61ff-6ad7-4e72-8b37-99e9b7bbe2d2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Desktop,2024-10-05 02:27:50.791 Z,2024-10-05 02:45:01.988 Z
2c5e64f4-fa2b-4dc1-927d-52254fbdb6fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 07:15:53.452 Z,2024-10-05 07:32:40.660 Z
adf68bda-0fe8-4ffe-b62f-0c6978251f7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Desktop,2024-10-05 12:37:56.860 Z,2024-10-05 13:11:00.026 Z
095d5a5b-ce1c-4eb7-88f6-6d4ad783737d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 16:33:36.972 Z,2024-10-05 16:50:13.904 Z
e3983175-2001-4274-8f7d-5786029e4c7c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 00:20:38.336 Z,2024-10-05 01:02:19.632 Z
66c8c8c1-f6e8-4c09-aef4-93c63c51fe1b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 13:56:06.534 Z,2024-10-05 14:11:58.234 Z
e326b4d6-8812-4b93-89f0-28b08aad4bc4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-05 06:23:46.041 Z,2024-10-05 06:49:12.474 Z
33de2658-a253-456b-98d6-371f415a5bf7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 09:03:45.124 Z,2024-10-12 09:28:12.167 Z
0818627e-5842-47c8-9453-7b56c7092bff,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 10:29:52.199 Z,2024-10-12 10:45:42.798 Z
9b445e9c-1a51-4ba4-8df2-b6c937d1cbc4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 01:42:56.530 Z,2024-10-12 02:12:49.004 Z
ebb40686-988d-429b-8fda-020c2f9243c6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 22:50:30.549 Z,2024-10-12 23:35:55.751 Z
76b5cc30-fcbd-4a6a-acf8-91afcb0d15ba,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Desktop,2024-10-12 17:15:32.387 Z,2024-10-12 18:03:55.974 Z
b4fe5d55-f8f2-4a72-ac4b-cf7980135f9e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 16:45:55.890 Z,2024-10-12 17:06:15.268 Z
03668962-5978-4c99-9aa9-b459d786098e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 22:15:28.946 Z,2024-10-12 22:48:44.599 Z
1ccadefd-530b-41b4-9427-b792f405348f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,Mobile,2024-10-12 20:52:00.668 Z,2024-10-12 21:40:58.852 Z
