@dateOfBirth,@personName,ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,confirmedHandoff,dateOfBirth,eventData,eventId,nluEngineVersion,personName,requestLatency,timestamp,typeOfEvent
,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5d0c9f7d-f96e-45ad-a0e7-06975ff5965a,81,True,,"{'confirmedHandoff': True, 'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 540}",6706de4314519701d6f08b74,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,540,2024-10-09 22:49:23.825,FACT_COLLECTED
,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7cdfb076-b0d3-43e7-89ef-1313104f1bdb,70,True,,"{'confirmedHandoff': True, 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 730}",67067d637673c82f4272ca01,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,730,2024-10-09 15:56:03.323,FACT_COLLECTED
,LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVZsajMwclJ5REQyZnhqVktPbUwwa1BQU2VzN2tsMEVFNzI5WUduaSsKUFZTQjNHeSsvdUF2M0REOVd3ZUJaeGlsKzNuWHhHUWFtU1dici9vSGVmUnl3VEM2VU90ZGdpTHJFelExCkNJKzVKaEg1UnpMU3NWUkdUUjhRbFlFZmNaeVpGZzBhUlJYL2VNWkpjblIxcWJGcDByTFNQd0ZsZ096QgpKOWtUeU9iTkI2eVNGSHNGbGpoUjNPVGozN2FncUFUQlh2cjlZa0pRTkdUMnpJRERhUWh0ZTNHc3RQKzgKbHB0aGlXQ2N1MStZdEFrLzdBPT0KPVVRSS8KLS0tLS1FTkQgUEdQIE1FU1NBR0UtLS0tLQo=,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7cdfb076-b0d3-43e7-89ef-1313104f1bdb,83,,,"{'@personName': 'LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVZsajMwclJ5REQyZnhqVktPbUwwa1BQU2VzN2tsMEVFNzI5WUduaSsKUFZTQjNHeSsvdUF2M0REOVd3ZUJaeGlsKzNuWHhHUWFtU1dici9vSGVmUnl3VEM2VU90ZGdpTHJFelExCkNJKzVKaEg1UnpMU3NWUkdUUjhRbFlFZmNaeVpGZzBhUlJYL2VNWkpjblIxcWJGcDByTFNQd0ZsZ096QgpKOWtUeU9iTkI2eVNGSHNGbGpoUjNPVGozN2FncUFUQlh2cjlZa0pRTkdUMnpJRERhUWh0ZTNHc3RQKzgKbHB0aGlXQ2N1MStZdEFrLzdBPT0KPVVRSS8KLS0tLS1FTkQgUEdQIE1FU1NBR0UtLS0tLQo=', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'personName': '[PERSON_NAME]', 'requestLatency': 1523}",67067d6f7673c82f4272cad0,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,[PERSON_NAME],1523,2024-10-09 15:56:15.665,FACT_COLLECTED
LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVVtWEZ3STlBamZrRlB2aGNUUnNkMGpxTlJmN05uNTA4M3RzcFZacVIKWFc5RlFwY3VKRUtGUU1ORUFzckZES29Pd002anczU0R4K3FwMFAwQkpRbjJJREQwYUxUaStnTVhtekxQClZabTM4R2NXckVyV1JMcVNFWXAvR3JUQWx2UW1vR3l1WkxBZmV0MU81akZPcmk2T24zSFNQUUViZUJRTwpxQ09VSXZuOEQ3OFF1djFCWVorOXAxeXFNUE10dVh1K2N6UWpNN0swYnRKK0k1R2hxMkN2TlZjdStpeWEKNFloRWdWTFpZYi9mSUNjPQo9N2UwYwotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7cdfb076-b0d3-43e7-89ef-1313104f1bdb,90,,[DATE_OF_BIRTH],"{'@dateOfBirth': 'LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVVtWEZ3STlBamZrRlB2aGNUUnNkMGpxTlJmN05uNTA4M3RzcFZacVIKWFc5RlFwY3VKRUtGUU1ORUFzckZES29Pd002anczU0R4K3FwMFAwQkpRbjJJREQwYUxUaStnTVhtekxQClZabTM4R2NXckVyV1JMcVNFWXAvR3JUQWx2UW1vR3l1WkxBZmV0MU81akZPcmk2T24zSFNQUUViZUJRTwpxQ09VSXZuOEQ3OFF1djFCWVorOXAxeXFNUE10dVh1K2N6UWpNN0swYnRKK0k1R2hxMkN2TlZjdStpeWEKNFloRWdWTFpZYi9mSUNjPQo9N2UwYwotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==', 'dateOfBirth': '[DATE_OF_BIRTH]', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 764}",67067d797673c82f4272cb7b,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,764,2024-10-09 15:56:25.549,FACT_COLLECTED
,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b4774e52-b5c9-4153-961e-0639d7a88142,85,True,,"{'confirmedHandoff': True, 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 137}",67067cc514519701d6ea9718,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,137,2024-10-09 15:53:25.708,FACT_COLLECTED
,LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRU12M1Uxa1ZOS08rSjI0NU1sREpoUGl0MkNQTVN5UFhGVzdUK2x2ZmcKdE9tWWNYem0xQm9iMjY0UWlDYnBJaWxkZ2dma3QvRStZSmR5VVY0NGlScnV6akQyMmFwVnd6eWpJZzZrCjUzTEM0K2pCeE1FWEx4Q3ZPUWZCdURzSnpkQ240Y3NndDE5RTY3bmp6aExMWFZJNXpPclNQUUhCTDNHVApFeEpCMkpXR1pWMGx6Z2NaOExQSUFWc2xFSlNoSHZhOWIyNm9TM0M1NE1wNFRYdDEwTG9TM0tUNlc0bGoKRS95S1BpSS9EcHNiUmRZPQo9T0VQSgotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b4774e52-b5c9-4153-961e-0639d7a88142,97,,,"{'@personName': 'LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRU12M1Uxa1ZOS08rSjI0NU1sREpoUGl0MkNQTVN5UFhGVzdUK2x2ZmcKdE9tWWNYem0xQm9iMjY0UWlDYnBJaWxkZ2dma3QvRStZSmR5VVY0NGlScnV6akQyMmFwVnd6eWpJZzZrCjUzTEM0K2pCeE1FWEx4Q3ZPUWZCdURzSnpkQ240Y3NndDE5RTY3bmp6aExMWFZJNXpPclNQUUhCTDNHVApFeEpCMkpXR1pWMGx6Z2NaOExQSUFWc2xFSlNoSHZhOWIyNm9TM0M1NE1wNFRYdDEwTG9TM0tUNlc0bGoKRS95S1BpSS9EcHNiUmRZPQo9T0VQSgotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'personName': '[PERSON_NAME]', 'requestLatency': 1726}",67067ccd14519701d6ea9782,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,[PERSON_NAME],1726,2024-10-09 15:53:33.669,FACT_COLLECTED
LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRU9vS1BHV1hYQkgwYWhkdGQxdkVFV2hnYXRWRWUwdElhMy9VbjdKWEsKbVNQN1R0eGo4YlB0MEN0bGdFNjZoOWdKeVpkdlFOT1BQdDFVQnUwSGhZK1JaekN2QSt4VHpXRVRmVFlaCjNvbmtyU2xVY0N4MG92SDZ4UUZYYi9rUlY4V1pMaElubENZS0p4UXFtdFNqaHVQaHAxYlNQUUZsNTA1Kwo3K1g0R2cxRkFmSC9BeDRoNnhXNFVCd1dSeHZYMVFoaTNKdmtqYmlSa011dHQvUUhVKzlxc05GdzBLRVAKZ0tmY3FpRGJ1ZkdsNEY4PQo9eVZHdgotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b4774e52-b5c9-4153-961e-0639d7a88142,104,,[DATE_OF_BIRTH],"{'@dateOfBirth': 'LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRU9vS1BHV1hYQkgwYWhkdGQxdkVFV2hnYXRWRWUwdElhMy9VbjdKWEsKbVNQN1R0eGo4YlB0MEN0bGdFNjZoOWdKeVpkdlFOT1BQdDFVQnUwSGhZK1JaekN2QSt4VHpXRVRmVFlaCjNvbmtyU2xVY0N4MG92SDZ4UUZYYi9rUlY4V1pMaElubENZS0p4UXFtdFNqaHVQaHAxYlNQUUZsNTA1Kwo3K1g0R2cxRkFmSC9BeDRoNnhXNFVCd1dSeHZYMVFoaTNKdmtqYmlSa011dHQvUUhVKzlxc05GdzBLRVAKZ0tmY3FpRGJ1ZkdsNEY4PQo9eVZHdgotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==', 'dateOfBirth': '[DATE_OF_BIRTH]', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 768}",67067cd314519701d6ea97d2,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,768,2024-10-09 15:53:39.013,FACT_COLLECTED
,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,fdb7d2b9-cd17-424e-801d-f0ec562fc792,57,True,,"{'confirmedHandoff': True, 'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1266}",6706b76ff480fd5383ab32a4,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,1266,2024-10-09 20:03:43.364,FACT_COLLECTED
,LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVBMNU9EYktYZmlLc2gvWG5paDBzcVREVWNHelV1U3FhN2RCZ0NDWGYKdTVyVXlleXRLZ05ZZy9nVVplczBlQjR5OG9aaXBzSWJUNit2ODREU2ppNkVZakFNMkJiSzNBZ3JFMUo2CmhnOXlDK1BpVjhCZFRIbUUvYXA1TEFJdUNZNDhLbUZKSWdTM1IrYVNZK1Yxd1o2YXJQM1NQUUhmK1FiWgphUFVrdzlzUWo1WEZpRTJqZDlVWXBjakN0a0NMVWZCK0xGOHg0UVpJd0RDYlRkRnJtQzd2MnZENi9iL3IKYVNiR3g4YjhRN00wdGc4PQo9Z29TbQotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,fdb7d2b9-cd17-424e-801d-f0ec562fc792,68,,,"{'@personName': 'LS0tLS1CRUdJTiBQR1AgTUVTU0FHRS0tLS0tCgp3WDREbnJkcTgzQWJ0bU1TQWdNRVBMNU9EYktYZmlLc2gvWG5paDBzcVREVWNHelV1U3FhN2RCZ0NDWGYKdTVyVXlleXRLZ05ZZy9nVVplczBlQjR5OG9aaXBzSWJUNit2ODREU2ppNkVZakFNMkJiSzNBZ3JFMUo2CmhnOXlDK1BpVjhCZFRIbUUvYXA1TEFJdUNZNDhLbUZKSWdTM1IrYVNZK1Yxd1o2YXJQM1NQUUhmK1FiWgphUFVrdzlzUWo1WEZpRTJqZDlVWXBjakN0a0NMVWZCK0xGOHg0UVpJd0RDYlRkRnJtQzd2MnZENi9iL3IKYVNiR3g4YjhRN00wdGc4PQo9Z29TbQotLS0tLUVORCBQR1AgTUVTU0FHRS0tLS0tCg==', 'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'personName': '[PERSON_NAME]', 'requestLatency': 2165}",6706b777f480fd5383ab332d,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,[PERSON_NAME],2165,2024-10-09 20:03:51.690,FACT_COLLECTED
,,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,85620fb5-605b-4788-a1ef-d518156d0ec4,50,True,,"{'confirmedHandoff': True, 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 172}",6706914e9a99212463cd5f1f,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,172,2024-10-09 17:21:02.148,FACT_COLLECTED
