CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,graphId,nluEngineVersion,requestLatency,titleOrNodeId,types
6bbd6279-e3e8-4292-ad47-bc245df28c29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,28,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 544, 'titleOrNodeId': 'provider', 'types': []}",670eaa55c6d56ea4415ee20a,2024-10-15 20:45:57.351,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,544,provider,[]
6bbd6279-e3e8-4292-ad47-bc245df28c29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 960, 'titleOrNodeId': 'psychiatry', 'types': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}]}",670eaa5ac6d56ea4415ee23a,2024-10-15 20:46:02.271,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,960,psychiatry,"[{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}]"
68a241c5-37a8-4504-a943-6b82581cd270,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,29,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 999, 'titleOrNodeId': 'Career', 'types': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}]}",670e61a08529bdd288ba7507,2024-10-15 15:35:44.948,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,999,Career,"[{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}]"
68a241c5-37a8-4504-a943-6b82581cd270,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 3782, 'titleOrNodeId': 'urology', 'types': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'subspecialty'}]}",670e61be8529bdd288ba76d8,2024-10-15 15:36:14.011,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,3782,urology,"[{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'subspecialty'}]"
df0f492e-a33b-41c5-84a5-9fd87908058c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 522, 'titleOrNodeId': 'Medical records', 'types': []}",670ec2c04031c12e658e265d,2024-10-15 22:30:08.584,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2,522,Medical records,[]
eb155351-4749-4856-89cd-95615a9b0632,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 709, 'titleOrNodeId': 'email', 'types': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'information page'}]}",670e67f314519701d63a0866,2024-10-15 16:02:43.034,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,709,email,"[{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'information page'}]"
eb155351-4749-4856-89cd-95615a9b0632,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 709, 'titleOrNodeId': 'Address & Hours', 'types': []}",670e67f314519701d63a0867,2024-10-15 16:02:43.036,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,709,Address & Hours,[]
f2470b5f-8420-4ae5-bdf6-fcfeb3e83c0e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,14,"{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1830, 'titleOrNodeId': 'orthopedic surgery', 'types': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'information page'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}]}",670e50208529bdd288b987c8,2024-10-15 14:21:04.107,KNOWLEDGE,d5620631b462a65a6da62df3a61a514c16690dc9,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,1830,orthopedic surgery,"[{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'salient term'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'information page'}, {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'specialty'}]"
99948aca-1642-443f-861f-db6681cb9372,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,"{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 2929, 'titleOrNodeId': 'pediatrics', 'types': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'salient term'}, {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'subspecialty'}, {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'specialty'}]}",670143d2ce37c37834b5d6b0,2024-10-05 16:49:06.623,KNOWLEDGE,ed51c091992f15ee3437d570f957462f15e8d665,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,2929,pediatrics,"[{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'salient term'}, {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'subspecialty'}, {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'specialty'}]"
99948aca-1642-443f-861f-db6681cb9372,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,"{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 2929, 'titleOrNodeId': 'appointment', 'types': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'isolated important concepts'}]}",670143d2ce37c37834b5d6b1,2024-10-05 16:49:06.624,KNOWLEDGE,ed51c091992f15ee3437d570f957462f15e8d665,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,2929,appointment,"[{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'isolated important concepts'}]"
