ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,nluEngineVersion,reason,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,eb155351-4749-4856-89cd-95615a9b0632,15,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 2685}",670e675a14519701d63a0063,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,,2685,2024-10-15 16:00:10.309,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,eb155351-4749-4856-89cd-95615a9b0632,21,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1690}",670e676d14519701d63a0175,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,,1690,2024-10-15 16:00:29.121,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,095d5a5b-ce1c-4eb7-88f6-6d4ad783737d,27,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1233}",67016ab055f202ce262e7ca9,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,1233,2024-10-05 19:34:56.301,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9b445e9c-1a51-4ba4-8df2-b6c937d1cbc4,16,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 2123}",6709d4658529bdd28890cb7e,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,2123,2024-10-12 04:44:05.907,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9b445e9c-1a51-4ba4-8df2-b6c937d1cbc4,25,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 945}",6709d47a8529bdd28890cc3b,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,945,2024-10-12 04:44:26.365,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54ce5e78-5339-4fe6-b8cc-5f67f7c863c9,22,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 950}",670a97bc14519701d615d250,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,950,2024-10-12 18:37:32.039,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54ce5e78-5339-4fe6-b8cc-5f67f7c863c9,88,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 799}",670a982914519701d615d811,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,799,2024-10-12 18:39:21.520,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54ce5e78-5339-4fe6-b8cc-5f67f7c863c9,94,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1167}",670a983114519701d615d86c,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,1167,2024-10-12 18:39:29.152,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17111e7d-c268-4e16-ba68-c2910673cadb,14,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1099}",670aacc78529bdd288973249,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,1099,2024-10-12 20:07:19.136,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89a6df6c-45d6-4564-951a-6312c6a11d4d,370,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 736}",6709edca14519701d6118a78,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,736,2024-10-12 06:32:26.877,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7f37ecec-38fc-48b8-ad93-81ce058ad9d0,14,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 3783}",670a898a8529bdd28895658d,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,,3783,2024-10-12 17:36:58.471,MISUNDERSTANDING
