ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,bodyPart,condition,eventData,eventId,expertise,familyMember,gender,informationPage,interest,location,name,nluEngineVersion,professionalSuffix,requestLatency,salientTerm,specialty,subspecialty,symptom,timestamp,type,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6bbd6279-e3e8-4292-ad47-bc245df28c29,38,,,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 960, 'salientTerm': 'psychiatry', 'specialty': 'psychiatry', 'type': 'provider'}",670eaa5ac6d56ea4415ee23b,,,,,,,,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,,960,psychiatry,psychiatry,,,2024-10-15 20:46:02.272,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68a241c5-37a8-4504-a943-6b82581cd270,41,,,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 3782, 'specialty': 'urology', 'subspecialty': 'urology', 'type': 'provider'}",670e61be8529bdd288ba76d9,,,,,,,,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,,3782,,urology,urology,,2024-10-15 15:36:14.012,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,f2470b5f-8420-4ae5-bdf6-fcfeb3e83c0e,15,,,"{'informationPage': 'Orthopaedics & Physical Performance', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1830, 'salientTerm': 'Orthopaedics & Physical Performance', 'specialty': 'Orthopaedics & Physical Performance', 'type': 'provider'}",670e50208529bdd288b987ca,,,,Orthopaedics & Physical Performance,,,,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,,1830,Orthopaedics & Physical Performance,Orthopaedics & Physical Performance,,,2024-10-15 14:21:04.108,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,148808d9-7009-4a1c-9fc9-716c8072fda9,27,,,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 601, 'specialty': 'family medicine', 'type': 'provider'}",6701a0a5ce37c37834baa1bf,,,,,,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,601,,family medicine,,,2024-10-05 23:25:09.274,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,99885e3a-c5f3-4462-a38a-488938ca4747,29,,,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 462, 'specialty': 'family medicine', 'type': 'provider'}",67008b09ce37c37834b07286,,,,,,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,,462,,family medicine,,,2024-10-05 03:40:41.194,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5a22a000-374f-441b-a862-7869012050e7,45,,,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 734, 'specialty': 'family medicine', 'type': 'provider'}",67011fb5ce37c37834b4793c,,,,,,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,734,,family medicine,,,2024-10-05 14:15:01.083,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5a33ab5b-2ef4-49c1-9636-c4107480d5d5,26,,,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 492, 'specialty': 'family medicine', 'type': 'provider'}",67008f81ce37c37834b0b141,,,,,,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,,492,,family medicine,,,2024-10-05 03:59:45.483,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ee351325-86a5-4d28-b48d-6b1d47e2939f,49,,,"{'interest': 'gastrointestinal', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1272, 'type': 'provider'}",6701c496ce37c37834bc410b,,,,,gastrointestinal,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,1272,,,,,2024-10-06 01:58:30.085,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ee351325-86a5-4d28-b48d-6b1d47e2939f,60,,,"{'interest': 'gastrointestinal', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 383, 'type': 'provider'}",6701c4a9ce37c37834bc41d3,,,,,gastrointestinal,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,383,,,,,2024-10-06 01:58:49.660,provider,PROVIDER_MEDICAL_ATTRIBUTE
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,62e79c6c-00d8-499b-8305-5565847399ba,36,,,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 884, 'specialty': 'family medicine', 'type': 'provider'}",6701041fce37c37834b3fe4c,,,,,,,,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,884,,family medicine,,,2024-10-05 12:17:19.221,provider,PROVIDER_MEDICAL_ATTRIBUTE
